147BoundingBox(left=137000.0, bottom=212000.0, right=138000.0, top=213000.0)
148BoundingBox(left=137000.0, bottom=211000.0, right=138000.0, top=212000.0)
149BoundingBox(left=137000.0, bottom=210000.0, right=138000.0, top=211000.0)
150BoundingBox(left=137000.0, bottom=209000.0, right=138000.0, top=210000.0)
151BoundingBox(left=137000.0, bottom=208000.0, right=138000.0, top=209000.0)
152BoundingBox(left=137000.0, bottom=207000.0, right=138000.0, top=208000.0)
153BoundingBox(left=137000.0, bottom=206000.0, right=138000.0, top=207000.0)
154BoundingBox(left=137000.0, bottom=205000.0, right=138000.0, top=206000.0)
155BoundingBox(left=137000.0, bottom=204000.0, right=138000.0, top=205000.0)
156BoundingBox(left=137000.0, bottom=203000.0, right=138000.0, top=204000.0)
157BoundingBox(left=137000.0, bottom=202000.0, right=138000.0, top=203000.0)
158BoundingBox(left=137000.0, bottom=201000.0, right=138000.0, top=202000.0)
159BoundingBox(left=137000.0, bottom=200000.0, right=138000.0, top=201000.0)
160BoundingBox(left=137000.0, bottom=199000.0, right=138000.0, top=200000.0)
161BoundingBox(left=138000.0, bottom=218000.0, right=139000.0, top=219000.0)
162BoundingBox(left=138000.0, bottom=217000.0, right=139000.0, top=218000.0)
163BoundingBox(left=138000.0, bottom=216000.0, right=139000.0, top=217000.0)
164BoundingBox(left=138000.0, bottom=215000.0, right=139000.0, top=216000.0)
165BoundingBox(left=138000.0, bottom=214000.0, right=139000.0, top=215000.0)
166BoundingBox(left=138000.0, bottom=213000.0, right=139000.0, top=214000.0)
167BoundingBox(left=138000.0, bottom=212000.0, right=139000.0, top=213000.0)
168BoundingBox(left=138000.0, bottom=211000.0, right=139000.0, top=212000.0)
169BoundingBox(left=138000.0, bottom=210000.0, right=139000.0, top=211000.0)
170BoundingBox(left=138000.0, bottom=209000.0, right=139000.0, top=210000.0)
171BoundingBox(left=138000.0, bottom=208000.0, right=139000.0, top=209000.0)
172BoundingBox(left=138000.0, bottom=207000.0, right=139000.0, top=208000.0)
173BoundingBox(left=138000.0, bottom=206000.0, right=139000.0, top=207000.0)
174BoundingBox(left=138000.0, bottom=205000.0, right=139000.0, top=206000.0)
175BoundingBox(left=138000.0, bottom=204000.0, right=139000.0, top=205000.0)
176BoundingBox(left=138000.0, bottom=203000.0, right=139000.0, top=204000.0)
177BoundingBox(left=138000.0, bottom=202000.0, right=139000.0, top=203000.0)
178BoundingBox(left=138000.0, bottom=201000.0, right=139000.0, top=202000.0)
